data_captura,data_referencia,codigo_ativo,label,preco_fechamento
2026-06-28,2026-06-26,IFIX.SA,IFIX,3806.5
2026-06-28,2026-05-29,ADSH11.SA,ADSH11,10.699999809265137
2026-06-28,2026-05-29,AFHI11.SA,AFHI11,96.2699966430664
2026-06-28,2026-05-29,AFHF11.SA,AFHF11,9.989999771118164
2026-06-28,2026-05-29,AJFI11.SA,AJFI11,8.5
2026-06-28,2026-05-29,ALZC11.SA,ALZC11,7.510000228881836
2026-06-28,2026-05-29,ALZR11.SA,ALZR11,10.3100004196167
2026-06-28,2026-05-29,AURB11.SA,AURB11,81.0999984741211
2026-06-28,2026-05-29,APXM11.SA,APXM11,76.0
2026-06-28,2026-05-29,APXU11.SA,APXU11,94.48999786376953
2026-06-28,2026-05-29,AIEC11.SA,AIEC11,61.119998931884766
2026-06-28,2026-05-29,AVUR11.SA,AVUR11,96.45999908447266
2026-06-28,2026-05-29,AROA11.SA,AROA11,1.25
2026-06-28,2026-05-29,EIRA11.SA,EIRA11,104.55000305175781
2026-06-28,2026-05-29,ARTE11.SA,ARTE11,8.5
2026-06-28,2026-05-29,ARXD11.SA,ARXD11,7.940000057220459
2026-06-28,2026-05-29,AZPL11.SA,AZPL11,7.679999828338623
2026-06-28,2026-05-29,BCRI11.SA,BCRI11,62.290000915527344
2026-06-28,2026-05-29,BNFS11.SA,BNFS11,41.5
2026-06-28,2026-05-29,BTML11.SA,BTML11,111.27999877929688
2026-06-28,2026-05-29,BBFO11.SA,BBFO11,70.88999938964844
2026-06-28,2026-05-29,BBIG11.SA,BBIG11,6.849999904632568
2026-06-28,2026-05-29,BBRC11.SA,BBRC11,105.5
2026-06-28,2026-05-29,BFCC11.SA,BFCC11,103.51000213623047
2026-06-28,2026-05-29,BGRB11.SA,BGRB11,118.26000213623047
2026-06-28,2026-05-29,BLOG11.SA,BLOG11,6.659999847412109
2026-06-28,2026-05-29,BLMG11.SA,BLMG11,31.739999771118164
2026-06-28,2026-05-29,BMLC11.SA,BMLC11,102.31999969482422
2026-06-28,2026-05-29,BCIA11.SA,BCIA11,91.9000015258789
2026-06-28,2026-05-29,BVAR11.SA,BVAR11,1260.8900146484375
2026-06-28,2026-05-29,CARE11.SA,CARE11,3.309999942779541
2026-06-28,2026-05-29,FATN11.SA,FATN11,85.19999694824219
2026-06-28,2026-05-29,BRCO11.SA,BRCO11,118.30000305175781
2026-06-28,2026-05-29,BICE11.SA,BICE11,764.1599731445312
2026-06-28,2026-05-29,BIME11.SA,BIME11,5.539999961853027
2026-06-28,2026-05-29,BRIM11.SA,BRIM11,95.0
2026-06-28,2026-05-29,BRIP11.SA,BRIP11,399.0
2026-06-28,2026-05-29,BIPD11.SA,BIPD11,989.3300170898438
2026-06-28,2026-05-29,BIPE11.SA,BIPE11,1000.0
2026-06-28,2026-05-29,BROF11.SA,BROF11,54.63999938964844
2026-06-28,2026-05-29,LLAO11.SA,LLAO11,57.20000076293945
2026-06-28,2026-05-29,BTHI11.SA,BTHI11,44.0
2026-06-28,2026-05-29,BRCR11.SA,BRCR11,44.81999969482422
2026-06-28,2026-05-29,BTCI11.SA,BTCI11,9.260000228881836
2026-06-28,2026-05-29,BTLG11.SA,BTLG11,103.5999984741211
2026-06-28,2026-05-29,BTHF11.SA,BTHF11,9.329999923706055
2026-06-28,2026-05-29,HSRE11.SA,HSRE11,84.98999786376953
2026-06-28,2026-05-29,BPML11.SA,BPML11,88.0
2026-06-28,2026-05-29,BTYU11.SA,BTYU11,7.699999809265137
2026-06-28,2026-05-29,BTWR11.SA,BTWR11,91.63999938964844
2026-06-28,2026-05-29,BTSI11.SA,BTSI11,110.0
2026-06-28,2026-05-29,CXCO11.SA,CXCO11,69.95999908447266
2026-06-28,2026-05-29,CRFF11.SA,CRFF11,76.19000244140625
2026-06-28,2026-05-29,CXRI11.SA,CXRI11,64.69000244140625
2026-06-28,2026-05-29,CCME11.SA,CCME11,8.800000190734863
2026-06-28,2026-05-29,CCVA11.SA,CCVA11,100.06999969482422
2026-06-28,2026-05-29,CPUR11.SA,CPUR11,10.390000343322754
2026-06-28,2026-05-29,CPLG11.SA,CPLG11,11.489999771118164
2026-06-28,2026-05-29,CPOF11.SA,CPOF11,113.5
2026-06-28,2026-05-29,CPTS11.SA,CPTS11,7.639999866485596
2026-06-28,2026-05-29,CPSH11.SA,CPSH11,10.100000381469727
2026-06-28,2026-05-29,CACR11.SA,CACR11,23.969999313354492
2026-06-28,2026-05-29,CBOP11.SA,CBOP11,35.29999923706055
2026-06-28,2026-05-29,BLCA11.SA,BLCA11,99.62999725341797
2026-06-28,2026-05-29,CNES11.SA,CNES11,1.4199999570846558
2026-06-28,2026-05-29,CTXT11.SA,CTXT11,5.190000057220459
2026-06-28,2026-05-29,CENU11.SA,CENU11,100.0
2026-06-28,2026-05-29,CFII11.SA,CFII11,514.719970703125
2026-06-28,2026-05-29,CJCT11.SA,CJCT11,65.98999786376953
2026-06-28,2026-05-29,CIXF11.SA,CIXF11,114.5199966430664
2026-06-28,2026-05-29,PDBM11.SA,PDBM11,115.0
2026-06-28,2026-05-29,CLIN11.SA,CLIN11,91.80000305175781
2026-06-28,2026-05-29,RENV11.SA,RENV11,6.230000019073486
2026-06-28,2026-05-29,IBCR11.SA,IBCR11,48.5
2026-06-28,2026-05-29,CYCR11.SA,CYCR11,8.960000038146973
2026-06-28,2026-05-29,CYLD11.SA,CYLD11,131.4499969482422
2026-06-28,2026-05-29,DAMA11.SA,DAMA11,6.650000095367432
2026-06-28,2026-05-29,DAYM11.SA,DAYM11,4.119999885559082
2026-06-28,2026-05-29,ASRF11.SA,ASRF11,10974.0
2026-06-28,2026-05-29,DPRO11.SA,DPRO11,5.199999809265137
2026-06-28,2026-05-29,DEVA11.SA,DEVA11,18.469999313354492
2026-06-28,2026-05-29,DAMT11.SA,DAMT11,11.710000038146973
2026-06-28,2026-05-29,DOVL11.SA,DOVL11,583.0399780273438
2026-06-28,2026-05-29,EDGE11.SA,EDGE11,1050.0
2026-06-28,2026-05-29,EMET11.SA,EMET11,8.5
2026-06-28,2026-05-29,EGYR11.SA,EGYR11,2.9800000190734863
2026-06-28,2026-05-29,EQIR11.SA,EQIR11,8.510000228881836
2026-06-28,2026-05-29,ERPA11.SA,ERPA11,129.8800048828125
2026-06-28,2026-05-29,KEVE11.SA,KEVE11,521.0
2026-06-28,2026-05-29,EXES11.SA,EXES11,9.550000190734863
2026-06-28,2026-05-29,FLCR11.SA,FLCR11,95.9800033569336
2026-06-28,2026-05-29,VRTA11.SA,VRTA11,76.8499984741211
2026-06-28,2026-05-29,VRTM11.SA,VRTM11,7.269999980926514
2026-06-28,2026-05-29,FLMA11.SA,FLMA11,157.3000030517578
2026-06-28,2026-05-29,EGDB11.SA,EGDB11,1251.550048828125
2026-06-28,2026-05-29,ELDO11.SA,ELDO11,928.5471801757812
2026-06-28,2026-05-29,EURO11.SA,EURO11,349.8999938964844
2026-06-28,2026-05-29,HYPI11.SA,HYPI11,181.5
2026-06-28,2026-05-29,HRES11.SA,HRES11,145.4499969482422
2026-06-28,2026-05-29,FIIB11.SA,FIIB11,456.0
2026-06-28,2026-05-29,FMOF11.SA,FMOF11,35.0
2026-06-28,2026-05-29,ALMI11.SA,ALMI11,644.0
2026-06-28,2026-05-29,KFOF11.SA,KFOF11,80.9000015258789
2026-06-28,2026-05-29,DVFF11.SA,DVFF11,5.53000020980835
2026-06-28,2026-05-29,ANCR11.SA,ANCR11,411.0
2026-06-28,2026-05-29,FAED11.SA,FAED11,150.0
2026-06-28,2026-05-29,FCFL11.SA,FCFL11,123.12999725341797
2026-06-28,2026-05-29,CEOC11.SA,CEOC11,42.13999938964844
2026-06-28,2026-05-29,FAMB11.SA,FAMB11,933.0
2026-06-28,2026-05-29,EDGA11.SA,EDGA11,13.119999885559082
2026-06-28,2026-05-29,FYTO11.SA,FYTO11,8.550000190734863
2026-06-28,2026-05-29,HCRI11.SA,HCRI11,277.95001220703125
2026-06-28,2026-05-29,NSLU11.SA,NSLU11,180.36000061035156
2026-06-28,2026-05-29,MAXR11.SA,MAXR11,57.790000915527344
2026-06-28,2026-05-29,PQDP11.SA,PQDP11,2629.989990234375
2026-06-28,2026-05-29,RBRI11.SA,RBRI11,600.0
2026-06-28,2026-05-29,RDIV11.SA,RDIV11,86.0
2026-06-28,2026-05-29,RBRR11.SA,RBRR11,84.41999816894531
2026-06-28,2026-05-29,RECR11.SA,RECR11,82.54000091552734
2026-06-28,2026-05-29,RECT11.SA,RECT11,36.099998474121094
2026-06-28,2026-05-29,SHDP11.SA,SHDP11,1210.050048828125
2026-06-28,2026-05-29,TRNT11.SA,TRNT11,106.61000061035156
2026-06-28,2026-05-29,APXR11.SA,APXR11,99.98999786376953
2026-06-28,2026-05-29,CXAG11.SA,CXAG11,75.8499984741211
2026-06-28,2026-05-29,CXCI11.SA,CXCI11,70.04000091552734
2026-06-28,2026-05-29,CXCE11.SA,CXCE11,41.5
2026-06-28,2026-05-29,CXTL11.SA,CXTL11,330.0199890136719
2026-06-28,2026-05-29,LKDV11.SA,LKDV11,1081.9300537109375
2026-06-28,2026-05-29,EDFO11.SA,EDFO11,132.5399932861328
2026-06-28,2026-05-29,NVHO11.SA,NVHO11,12.0
2026-06-28,2026-05-29,GTWR11.SA,GTWR11,82.70999908447266
2026-06-28,2026-05-29,HBCR11.SA,HBCR11,146.0
2026-06-28,2026-05-29,HUCG11.SA,HUCG11,88.0
2026-06-28,2026-05-29,HUSC11.SA,HUSC11,96.01000213623047
